from$label_from$sent_from$type$to$label_to$sent_to
средства, действующие на ренин-ангиотензиновую систему$group$средства, действующие на ренин-ангиотензиновую систему; антагонисты рецепторов ангиотензина II.$sub_group$антагонисты рецепторов ангиотензина II$group$средства, действующие на ренин-ангиотензиновую систему; антагонисты рецепторов ангиотензина II.
приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
кандесартана$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
блокирования АТ 1 -рецепторов ангиотензина II$mechanism$В результате блокирования АТ 1 -рецепторов ангиотензина II происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II и снижение концентрации альдостерона в плазме крови.$link$происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II$action$В результате блокирования АТ 1 -рецепторов ангиотензина II происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II и снижение концентрации альдостерона в плазме крови.
блокирования АТ 1 -рецепторов ангиотензина II$mechanism$В результате блокирования АТ 1 -рецепторов ангиотензина II происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II и снижение концентрации альдостерона в плазме крови.$link$снижение концентрации альдостерона в плазме крови$action$В результате блокирования АТ 1 -рецепторов ангиотензина II происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II и снижение концентрации альдостерона в плазме крови.
происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II$action$В результате блокирования АТ 1 -рецепторов ангиотензина II происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II и снижение концентрации альдостерона в плазме крови.$Not_link$снижение концентрации альдостерона в плазме крови$action$В результате блокирования АТ 1 -рецепторов ангиотензина II происходит дозозависимое повышение активности ренина, концентрации ангиотензина I, ангиотензина II и снижение концентрации альдостерона в плазме крови.
кандесартан$prepare$Артериальная гипертензия При артериальной гипертензии кандесартан вызывает дозозависимое длительное снижение АД.$link$артериальной гипертензии$illness$Артериальная гипертензия При артериальной гипертензии кандесартан вызывает дозозависимое длительное снижение АД.
кандесартан$prepare$Артериальная гипертензия При артериальной гипертензии кандесартан вызывает дозозависимое длительное снижение АД.$link$вызывает дозозависимое длительное снижение АД$mechanism$Артериальная гипертензия При артериальной гипертензии кандесартан вызывает дозозависимое длительное снижение АД.
кандесартана$prepare$Антигипертензивный эффект кандесартана обусловлен снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС).$link$Антигипертензивный эффект$mechanism$Антигипертензивный эффект кандесартана обусловлен снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС).
кандесартана$prepare$Антигипертензивный эффект кандесартана обусловлен снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС).$link$снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС)$mechanism$Антигипертензивный эффект кандесартана обусловлен снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС).
Антигипертензивный эффект$mechanism$Антигипертензивный эффект кандесартана обусловлен снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС).$Not_link$снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС)$mechanism$Антигипертензивный эффект кандесартана обусловлен снижением общего периферического сопротивления сосудов (ОПСС) без изменения частоты сердечных сокращений (ЧСС).
Не отмечалось случаев$action$Не отмечалось случаев выраженной артериальной гипотензии после приема первой дозы кандесартана, а также синдрома отмены (синдром «рикошета») после прекращения терапии.$link$артериальной гипотензии$side_e$Не отмечалось случаев выраженной артериальной гипотензии после приема первой дозы кандесартана, а также синдрома отмены (синдром «рикошета») после прекращения терапии.
кандесартана$prepare$Не отмечалось случаев выраженной артериальной гипотензии после приема первой дозы кандесартана, а также синдрома отмены (синдром «рикошета») после прекращения терапии.$link$Не отмечалось случаев$action$Не отмечалось случаев выраженной артериальной гипотензии после приема первой дозы кандесартана, а также синдрома отмены (синдром «рикошета») после прекращения терапии.
Кандесартан$prepare$Кандесартан, назначаемый один раз в сутки, обеспечивает эффективное и плавное снижение АД в течение 24 часов с незначительными колебаниями АД в интервалах между приемами очередной дозы препарата.$link$назначаемый один раз в сутки$recomendation$Кандесартан, назначаемый один раз в сутки, обеспечивает эффективное и плавное снижение АД в течение 24 часов с незначительными колебаниями АД в интервалах между приемами очередной дозы препарата.
назначаемый один раз в сутки$recomendation$Кандесартан, назначаемый один раз в сутки, обеспечивает эффективное и плавное снижение АД в течение 24 часов с незначительными колебаниями АД в интервалах между приемами очередной дозы препарата.$link$обеспечивает эффективное и плавное снижение АД$mechanism$Кандесартан, назначаемый один раз в сутки, обеспечивает эффективное и плавное снижение АД в течение 24 часов с незначительными колебаниями АД в интервалах между приемами очередной дозы препарата.
Кандесартан$prepare$Кандесартан, назначаемый один раз в сутки, обеспечивает эффективное и плавное снижение АД в течение 24 часов с незначительными колебаниями АД в интервалах между приемами очередной дозы препарата.$Not_link$обеспечивает эффективное и плавное снижение АД$mechanism$Кандесартан, назначаемый один раз в сутки, обеспечивает эффективное и плавное снижение АД в течение 24 часов с незначительными колебаниями АД в интервалах между приемами очередной дозы препарата.
кандесартана$prepare$Применение кандесартана совместно с гидрохлоротиазидом приводит к усилению антигипертензивного эффекта.$combination$гидрохлоротиазидом$prepare$Применение кандесартана совместно с гидрохлоротиазидом приводит к усилению антигипертензивного эффекта.
гидрохлоротиазидом$prepare$Применение кандесартана совместно с гидрохлоротиазидом приводит к усилению антигипертензивного эффекта.$link$усилению антигипертензивного эффекта$mechanism$Применение кандесартана совместно с гидрохлоротиазидом приводит к усилению антигипертензивного эффекта.
кандесартана$prepare$Применение кандесартана совместно с гидрохлоротиазидом приводит к усилению антигипертензивного эффекта.$Not_link$усилению антигипертензивного эффекта$mechanism$Применение кандесартана совместно с гидрохлоротиазидом приводит к усилению антигипертензивного эффекта.
кандесартана$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.$combination$гидрохлоротиазида$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.
кандесартана$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.$combination$амлодипина$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.
гидрохлоротиазида$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.$link$хорошо переносится$recomendation$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.
кандесартана$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.$Not_link$хорошо переносится$recomendation$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.
амлодипина$prepare$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.$Not_link$хорошо переносится$recomendation$Совместное применение кандесартана и гидрохлоротиазида (или амлодипина) хорошо переносится.
Кандесартан$prepare$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.$Not_link$увеличивает почечный кровоток$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.
Кандесартан$prepare$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.$Not_link$не изменяет или повышает скорость клубочковой фильтрации$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.
Кандесартан$prepare$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.$Not_link$почечное сосудистое сопротивление и фильтрационная фракция снижаются$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.
увеличивает почечный кровоток$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.$Not_link$не изменяет или повышает скорость клубочковой фильтрации$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.
увеличивает почечный кровоток$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.$Not_link$почечное сосудистое сопротивление и фильтрационная фракция снижаются$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.
не изменяет или повышает скорость клубочковой фильтрации$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.$Not_link$почечное сосудистое сопротивление и фильтрационная фракция снижаются$mechanism$Кандесартан увеличивает почечный кровоток и не изменяет или повышает скорость клубочковой фильтрации, тогда как почечное сосудистое сопротивление и фильтрационная фракция снижаются.
кандесартана$prepare$Прием кандесартана в дозе 8-16 мг в течение 12 недель не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа.$Not_link$в дозе 8-16 мг в течение 12 недель$recomendation$Прием кандесартана в дозе 8-16 мг в течение 12 недель не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа.
кандесартана$prepare$Прием кандесартана в дозе 8-16 мг в течение 12 недель не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа.$Not_link$не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа$action$Прием кандесартана в дозе 8-16 мг в течение 12 недель не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа.
в дозе 8-16 мг в течение 12 недель$recomendation$Прием кандесартана в дозе 8-16 мг в течение 12 недель не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа.$Not_link$не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа$action$Прием кандесартана в дозе 8-16 мг в течение 12 недель не оказывает негативного влияния на концентрацию глюкозы и липидный профиль у пациентов с артериальной гипертензией и сахарным диабетом 2 типа.
кандесартана$prepare$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.$link$ХСН$illness$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.
кандесартана$prepare$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.$link$снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови$mechanism$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.
кандесартана$prepare$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.$link$снижению уровня альдостерона$mechanism$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.
снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови$mechanism$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.$Not_link$снижению уровня альдостерона$mechanism$У пациентов с ХСН и ФВЛЖ ≤40%, прием кандесартана способствовал снижению ОПСС и капиллярного давления в легких, повышению активности ренина и концентрации ангиотензина II в плазме крови, а также снижению уровня альдостерона.
Кандесартан$prepare$Распределение Кандесартан активно связывается с белками плазмы крови (>99%).$link$активно связывается с белками плазмы крови$distribution$Распределение Кандесартан активно связывается с белками плазмы крови (>99%).
Кандесартан$prepare$Биотрансформация Кандесартан, в основном, выводится из организма почками и желчью в неизмененном виде, и лишь в незначительной степени метаболизируется в печени.$link$выводится из организма почками и желчью в неизмененном виде$excretion$Биотрансформация Кандесартан, в основном, выводится из организма почками и желчью в неизмененном виде, и лишь в незначительной степени метаболизируется в печени.
Кандесартан$prepare$Биотрансформация Кандесартан, в основном, выводится из организма почками и желчью в неизмененном виде, и лишь в незначительной степени метаболизируется в печени.$link$метаболизируется в печени$metabol$Биотрансформация Кандесартан, в основном, выводится из организма почками и желчью в неизмененном виде, и лишь в незначительной степени метаболизируется в печени.
выводится из организма почками и желчью в неизмененном виде$excretion$Биотрансформация Кандесартан, в основном, выводится из организма почками и желчью в неизмененном виде, и лишь в незначительной степени метаболизируется в печени.$Not_link$метаболизируется в печени$metabol$Биотрансформация Кандесартан, в основном, выводится из организма почками и желчью в неизмененном виде, и лишь в незначительной степени метаболизируется в печени.
