from$label_from$sent_from$type$to$label_to$sent_to
Морфин$prepare$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.$link$фенантреновым алкалоидом опийного мака$group$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.
Морфин$prepare$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.$link$агонистом опиоидных рецепторов$group$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.
Морфин$prepare$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$link$Центральное действие$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
антидиуретическим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
антидиуретическим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
рвотным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$противорвотным (позднее действие)$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
рвотным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
рвотным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противорвотным (позднее действие)$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противорвотным (позднее действие)$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$Запор$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$сокращение сфинктера желчевыводящих путей$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$замедление опорожнения желудка за счет сокращения привратника$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$эритема$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$крапивница$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$зуд$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$астматический бронхоспазм$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
астматический бронхоспазм$side_e$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$обусловленные высвобождением гистамина$mechanism$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
нарушению действия или продукции$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$кортикостероиды$group$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
нарушению действия или продукции$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$пролактин$hormone$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
также влияние на гипоталамогипофизарную ось$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$нарушению действия или продукции$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
нарушению действия или продукции$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$link$антидиуретический гормон$hormone$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$Not_link$обусловленные высвобождением гистамина$mechanism$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$Not_link$также влияние на гипоталамогипофизарную ось$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$Not_link$нарушению действия или продукции$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$Not_link$пролактин$hormone$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
Периферическое действие$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$Not_link$антидиуретический гормон$hormone$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
обусловленные высвобождением гистамина$mechanism$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.$Not_link$также влияние на гипоталамогипофизарную ось$action$Периферическое действие Запор, сокращение сфинктера желчевыводящих путей, повышение тонуса мышц мочевого пузыря и сфинктера мочевого пузыря, замедление опорожнения желудка за счет сокращения привратника, эритема; крапивница, зуд и астматический бронхоспазм, обусловленные высвобождением гистамина, а также влияние на гипоталамогипофизарную ось, приводящее к нарушению действия или продукции таких гормонов, как кортикостероиды, половые гормоны, пролактин и антидиуретический гормон.
