source;target
фуросемид;печёночный энцефалопатия
эритромицин;тошнота
периндоприл;гинекомастие
снижение содержание ангитензин ii в плазма кровь;снижаться секреция альдостерон
лизиноприл;гипогликемия
лизиноприл;алопеция
снижать преднагрузка;уменьшать работа сердце
ранолазин;крапивница
повышать автоматизм миокард;аритмия
зипразидон;кровотечение из желудочнокишечный тракт
периндоприл;снижение масса тело
ингибирование if-канал синусовый узел;ощущение сердцебиение
отрицательный дромотропный эффект;антиаритмический действие
каптоприл;повышение концентрация азот мочевина в плазма кровь
рамиприл;снижение гемоглобин
блокировать система транспорт ион в толстой сегмент восходить колено петля генль na+;угнетение реабсорбция
валсартан;инфекция верхний дыхательный путь
снижать преднагрузка артериальный давление;головокружение
рамиприл;афтозный стоматит
дигоксин;повышение рефрактерность атриовентрикулярный (av) узел
амлодипин;васкулит
снижение миокард;постнагрузка
соталола;мидриаз
амлодипин;снижение гемоглобин и гематокрит
бепридить;боль за грудина
сертиндол;полиурия
сужать сосуд;повышать общее периферическое сосудистое сопротивление
пентамидин;неконтролируемый изменение ад
колхицин;агранулоцитоз
периферический действие;замедление опорожнение желудок
нитроглицерин;выраженный артериальный гипотензия
ингибирует ксантиноксидаза;уменьшать концентрация мочевой кислоты кровь
снижать общий периферический сосудистый сопротивление;синдром рейно
амлодипин;острый артериальный гипотензия
адренорецептор β1;антиаритмический действие
аллопуринол;отек
ивабрадин;боль за грудина
лизиноприл;симптом депрессия
пимозид;полиурия
фуросемид;реакция фотосенсибилизация
соталола;изменение световосприятие (фотопсия)
уменьшать опсс;снижать постнагрузка
дизопирамида;мидриаз
повышать артериальный давление;повышение артериальное давления
периндоприл;лихорадка
галофантрина;кровотечение из желудочнокишечный тракт
цизаприд;повышение конечный диастолический давление в левый желудочек
брадикардия;астения
уменьшение количество эритроцит;снижение гемоглобин
небиволол;головокружение
сакубитрил;повышать утомляемость
периндоприл;реакция фоточувствительность
увеличение выведение натрий;увеличение секреция калий в дистальный часть почечный каналец
уменьшаться объём циркулировать жидкость;антигипертензивный действие
пентамидин;экстрасистолия
почка;гипокалиемия
хинидин;изменение световосприятие (фотопсия)
высвобождать из свой молекула оксид азот;расслаблять гладкомышечный клетка тонкий и толстой кишечник
лейкопения;нейтропения
валсартан;синусит
увеличение выделение вода;жажда
конкурентный антагонист альдостерон;препятствовать задержка натрий
норэпинефрин;ишемический нарушение
пимозид;двигательный беспокойство
периндоприл;периндоприлат
амлодипин;поллакиурия
препятствовать задержка натрий;снижать артериальный давление
амлодипин;спазм мышца
уменьшение секреция альдостерон;эректильный дисфункция
рамиприл;гемолитический анемия
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;ажитация
гипонатриемия;сиалоаденит
периндоприл;увеличение содержание калий
подавлять агрегация тромбоцит;кровотечение из желудочно-кишечный тракт
соталола;повышение концентрация креатинин
ранолазин;головокружение
эналаприл;гиперчувствительность
каптоприл;желудочный-кишечный тракт
гидрохлоротиазид;интерстициальный пневмония
периндоприл;припухлость в область область сустав
фелодипин;импотенция/сексуальный дисфункция
блокировать разрушение брадикинин;кашель
пентамидин;гипокалиемия
аллопуринол;повышение уровня тиреотропного гормона
рамиприл;внимание
пимозид;av блокада ii и iii степень
цизаприд;спазм мышца
пентамидин;расширение комплекс qrs на экг
амлодипин;экзантема
дизопирамида;повышение концентрация креатинин
увеличение выделение вода;гипокалиемия
эналаприл;тромбоэмболия ветвь лёгочный артерия
морфин;приводить к разнообразный психический нежелательный реакция
сакубитрил;подавление активность неприлизин
амлодипин;сонливость
карведилол;дерматит
норэпинефрин;острый глаукома
гидрохлоротиазид;острый респираторный дистресс-синдром
колхицин;стеаторея
амлодипин;обморочный состояние
артериальный гипотензия;потеря сознание
периндоприл;отёк дыхательный путь
амлодипин;ринит
снижение секреция альдостерон;увеличение содержание ион калий в сыворотка
снижением общего периферического сопротивления сосудов;снижение ад
бепридить;удлинение интервал qt на экг
карведилол;гамма-глутамилтрансфераза (ггт)
рамиприл;сонливость
угнетение реабсорбция;увеличение выведение натрий
снижение внутриклеточный накопление натрий;уменьшение избыток внутриклеточный ион кальций
ацетазоламид;фотосенсибилизация
спиронолактон;желудочнокишечный тракт
калийсберегающий диуретик;снижать артериальный давление
амлодипин;печень
снижать преднагрузка артериальный давление;тахикардия
сертиндол;кожный зуд
ивабрадин;удлинение интервал qt на экг
лизиноприл;боль в грудь
сертралин;влияние на обратный захват нейронами дофамин
эритромицин;вазоспазм
цизаприд;выраженный снижение ад
выведение избыток глюкоза почка;уменьшать концентрация глюкоза в плазма кровь
высвобождение гистамин;крапивница
рамиприл;мышечный судорога
периндоприл;периферический отёк
ингибитор фермент, превращать ангиотензин i в ангиотензин ii;снижение концентрация ангиотензин ii в плазма кровь
фозиноприл;боль
лизиноприл;изменение вкус
брадикардия;повышенный утомляемость
прямой действие на атриовентрикулярный узел;антиаритмический действие
артериальный гипотензия;синкопальный состояние
морфин;ощущение сердцебиение
повышение артериальный давление диастолический;рефлекторный снижение частота сердечный сокращение
периндоприл;тромбоцитопения
пентамидин;тахикардия
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;повышение аппетита
рамиприл;ортостатический гипотензия
диуретический средство;производный сульфонамид
норэпинефрин;коронарный недостаточность
понижать избыточный отрицательный заряд;снижение градиентный фильтрация плазма в полость желудочек мозг
периндоприл;припухлость в область сустав (область лодыжка)
ацетазоламид;дезориентация
центральный действие;действие рвотное
подавление деятельность костный мозг;эритропения
хинидин;шок (у пациент с бронхиальный астма)
сертиндол;крапивница
гипотензия;тошнота
снижать активность ренин-ангиотензин-альдостеронов система (раас);устранять вазоконстрикторный воздействие сосуд артериальный
метаболизироваться в печень;гепатит
галофантрина;тошнота
зипразидон;тремор палец рука
расширение коронарный артерия и артериол;увеличивать поступление кислород в миокард
пимозид;крапивница
печень;жёлчь
выведение избыток глюкоза почка;баланит
эналаприл;снижение гемоглобин
небиволол;парестезия
валсартан;сывороточный болезнь
амлодипин;летальный исход
расслаблять гладкий мышца бронх;устранять спазм бронхиол
гипотензия;ортостатический гипотензия
карведилол;потенцировать антигипертензивный и брадикардический эффект
ранолазин;повышение активность «печёночный» фермент
увеличивает почечный кровоток;повышает скорость клубочковой фильтрации
небиволол;полиморфный желудочковый тахикардия тип «пируэт»
спиронолактон;гастрит
периферический вазодилатация;ортостатический гипотензия
амлодипин;спутанность сознание
увеличение выведение натрий;увеличение количество выделять моча
лизиноприл;желтуха
хинидин;запор
амиодарон;боль в живот
триметазидин;бессонница
фуросемид;псевдосиндром барттер
бепридить;повышение конечный диастолический давление в левый желудочек
эналаприл;васкулит
снижение содержание ангитензин ii в плазма кровь;снижать постнагрузка
гидрохлоротиазид;тромбоцитопения
цизаприд;наджелудочковый экстрасистолия
рамиприл;спутанность сознание
калийсберегающий диуретик;судорога в икроножный мышца нога
синдром «отмена»;рвота
амлодипин;диарея
фозиноприл;повышенный утомляемость
карведилол;инфекция верхний дыхательный путь
расслабление гладкий мышца сосудистый стенка;расширение сосуд
сертиндол;неконтролируемый изменение ад
ингибирование цог-1;блокировать синтез тромбоксан А2
амлодипин;депрессия сон
угнетение дыхание;одышка
фозиноприл;кровоизлияние
рамиприл;диарея
ингибитор карбоангидраза;ацетазоламид
метформин;зуд
цизаприд;диарея
пимозид;неконтролируемый изменение ад
почка;поражение почек
карведилол;увеличение масса тело
колхицин;паралич
лс, удлинять интервал qt, не относиться к антиаритмический средство;мефлохина
колхицин;ангиоиммунобластная Т-клеточная лимфома
морфин;жёлчный колика
средство, угнетать цнс;опиоид
повышение внутриклеточный концентрация ион кальций адренорецептор α;боль в грудной клетка
бепридить;спазм мышца
галофантрина;наджелудочковый экстрасистолия
средство, действовать на ренин-ангиотензиновый система;ингибитор апф и блокатор кальциевый канал
фозиноприл;носовой кровотечение
центральный действие;спутанность сознание
ингибитор ангиотензинпревращающать фермент;замедлять метаболизм брадикинин
нитроглицерин;кожный аллергический реакция
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;депрессия
повышение внутриклеточный концентрация ион кальций адренорецептор α;мышечный подергивание
валсартан;специфический антагонист рецептор ангиотензин ii
валсартан;обморок
фозиноприл;«приливы» крови к коже лица
пимозид;экстрасистолия
ивабрадин;спазм мышца
пентамидин;азотемия
повышение концентрация;увеличивать риск развитие
центральный действие;дисфория
вазоконстрикция;повышение артериальный давление диастолический
соталола;двигательный беспокойство
подавлять агрегация тромбоцит;носовой кровотечение
амлодипин;синдром стивенс-джонсон
повышение внутриклеточный концентрация ион кальций адренорецептор β;увеличивать сердечный сокращение частота
эсциталопрам;низкий аффинность рецептор холинергический мускарин
кардиотонические средства;адренергический адренергический и дофаминергический средство
способствовать периферический вазодилатация;«прилив» кровь к лицо
гиперурикемия;обострение подагра
антагонисты рецепторов ангиотензина ii;кандесартан
фелодипин;раздражительность
небиволол;отёк нижний конечность
дизопирамида;боль в живот
нарушение периферический кровообращение;похолодание конечность
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;увеличивать минутный объем кровь
хинидин;двигательный беспокойство
эналаприл;сонливость
влияние на обратный захват нейронами норадреналин;ощущение сердцебиения
амиодарон;желудочковый или наджелудочковый аритмия
бепридить;выраженный снижение ад
сертиндол;гипокалиемия
подавление деятельность костный мозг;тромбоцитопения
сертиндол;расширение комплекс qrs на экг
блокатор;адренорецептор
артериальный гипотензия;обморок
фуросемид;кишечник
блокатор адренорецептор β1;антигипертензивный эффект
небиволол;бронхоспазм
соталола;av блокада ii и iii степень
каптоприл;стенокардия
ивабрадин;тошнота
периндоприл;повышение частота сердечно-сосудистый заболеваемость
эналаприл;мышечный судорога
ивабрадин;выраженный снижение ад
пимозид;гипокалиемия
нарушение действие;кортикостероид
пимозид;расширение комплекс qrs на экг
рамиприл;задержка жидкость
антагонисты альдостерона;спиронолактон
галофантрина;вазоспазм
каптоприл;раздражение слизистый оболочка желудок, вкус
эналаприл;протеинурия
хинидин;av блокада ii и iii степень
ивабрадин;печень
колхицин;повреждение печень
влияние на гипоталамо- гипофизарный ось;нарушение продукция
периндоприл;токсический эффект
тканевый;активироваться система простагландин е2
триметазидин;блокировка длинноцепочечный 3-кетоацил-коа-тиолаза
снижение давление наполнение;улучшение кровоснабжение субэндокардиальный слой
амлодипин;повышение концентрация мочевина в кровь
средства, действующий на ренин-ангиотензиновый система;антагонисты рецепторов ангиотензина ii
каптоприл;функция почка (включая почечный недостаточность)
гипокалиемия;тошнота
другой препарат для лечение заболевание сердце;ивабрадин
ацетазоламид;депрессия
эналаприл;инфекция мочевыводящий путь
эналаприл;лейкоцитоз
нарушение водный-электролитный баланс;тошнота
мефлохина;боль в живот
ивабрадин;ингибирование if-канал синусовый узел
лизиноприл;гиперчувствительность
каптоприл;ангионевротический отёк
морфин;гранулёма в область кончик катетер
спиронолактон;паралич
стимулировать образование оксид азота в эндотелиоцит;действие эндотелиопротективный
нитроглицерин;метгемоглобинемия
спиронолактон;параплегия
эналаприл;эналаприлат
сертиндол;тахикардия
ибутилида;боль в живот
блокировать разрушение брадикинин;одышка
ингибировать β-окисление жирный кислота;предотвращать снижение внутриклеточный концентрация аденозинтрифосфат
эпинефрин;почка
нитроглицерин;заторможенность
амлодипин;астения
пимозид;тахикардия
сокращение он размер;снижение потребность миокард в кислород
снижать постнагрузка;снижение давление наполнение
ингибитор разрушение брадикинин;повышение активность калликреин-кининовый система тканевый
ранолазин;шум в ухо
эналаприл;повышенный потоотделение
повышать проводимость миокард;аритмия
ранолазин;припухлость сустав
дизопирамида;желудочковый или наджелудочковый аритмия
эсциталопрам;учащённый сердцебиение
периндоприл;эозинофильный пневмония
фуросемид;гиперурикемия
каптоприл;олигурия
фозиноприл;инфекция верхний дыхательный путь
амлодипин;лабильность настроение
эналаприл;спутанность сознание
ивабрадин;наджелудочковый экстрасистолия
лизиноприл;аутоиммунный заболевание
средство для лечение сахарный диабет;гипогликемический средство
высвобождение альдостерон;гиперкалиемия
валсартан;гипокалиемия
эритромицин;изменение световосприятие (фотопсия)
эмпаглифлозин;белкок плазма кровь
колхицин;псевдолимфома
бепридить;диарея
эмпаглифлозин;ингибитор натрий-зависимый переносчик глюкоза 2 тип
фуросемид;анафилактоидный реакция
хинидин;крапивница
небиволол;замедление ав-проводимость
колхицин;периферический моторный нейропатия
эналаприл;диарея
валсартан;нарушение функция почек
норэпинефрин;снижение внимание
ивабрадин;диарея
ацетазоламид;нарушение функция печень
задерживать всасывание глюкоза в кишечник;гипогликемический действие
гидрохлоротиазид;кожный сыпь
сакубитрил;острый почечный недостаточность
фозиноприл;синусит
оказывать сосудорасширяющий действие;прилив
аллопуринол;миалгия
метаболизироваться в печень;жёлчь
аллопуринол;острый холангит
каптоприл;депрессия
фозиноприл;запор
периндоприл;одышка
центральный действие;действие гипотензивный
синдром «отмена»;общий слабость
изменение реакция сетчатка на яркий световой стимул;фосфен
мефлохина;желудочковый или наджелудочковый аритмия
фуросемид;глухота
отрицательный дромотропный эффект;синусовый брадикардия
адренорецептор β2;гипергликемия
фелодипин;боль в груди
печень;моноаминоксидаза
гипокалиемия;диарея
ибутилида;желудочковый или наджелудочковый аритмия
периндоприл;многоформный эритема
ивабрадин;вазоспазм
колхицин;стенокардия
зипразидон;рвота
стимулировать действие α-адренорецептор;тремор
лизиноприл;снижение гемоглобин
нитроглицерин;уменьшать выделение слюна
гидрохлоротиазид;острый миопия
не оказывать клинически значимый влияние на фармакокинетика;амлодипин
периндоприл;травма
улучшать коронарный кровоток;перераспределение в область с снизить кровообращение
периндоприл;восстановление структура сосудистый стенка мелкий артерия
фуросемид;необратимый нарушение с сторона орган слух
амлодипин;повышенный утомляемость
эналаприл;синдром стивенс-джонсон
ингибитор апф и блокатор кальциевый канал;ингибитор ангиотензинпревращать фермент (апф)
прямой расслаблять воздействие;расширение коронарный артерия и артериол
фуросемид;нарушение слух
хинидин;неконтролируемый изменение ад
адренорецептор β1;уменьшать пред постнагрузка на сердце
сертиндол;азотемия
лизиноприл;васкулит
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;беспокойство
соталола;экстрасистолия
подавление активность неприлизин;увеличение количество пептид натрийуретический пептид (НУП)
повышение концентрация циклический гуанозинмонофосфат (цГМФ);увеличение натрийурез
пимозид;азотемия
артериальный гипотензия;бледность
блокатор «медленных» кальциевых каналов;n24 сократительный способность гладкий мускулатура сосуд
блокировать реабсорбция ион натрий и хлор в начало почечный каналец;увеличивать выведение ион натрий и хлор
хинидин;экстрасистолия
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;галлюцинация
пентамидин;эритема
адренорецептор β1;подавление автоматизм сердце
амиодарон;стенокардия
сакубитрил;кожный зуд
гидрохлоротиазид;интерстициальный нефрит
периндоприл;снижение гемоглобин и гематокрит
устранять ингибирующее влияние на секреция ренин;повышение активность ренин плазма кровь
эритромицин;шок (у пациент с бронхиальный астма)
периндоприл;инфаркт миокард
не оказывать фармакокинетика и фармакодинамика;дигоксина
эналаприл;повышение концентрация мочевина в кровь
ингибитор поздний ток ион натрий в клетка миокард;снижение внутриклеточный накопление натрий
фуросемид;почка
соталола;гипокалиемия
цизаприд;мидриаз
снижение транспорт натрий внутрь клетка проксимальный отдел нефрон;уменьшение образование угольный кислота
рефлекторный снижение частота сердечный сокращение;брадикардия
центральный действие;повышение артериальный давление
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;повышать проводимость миокард
каптоприл;анемия
ранолазин;боль в конечность
хинидин;гипокалиемия
хинидин;расширение комплекс qrs на экг
периндоприл;гемолитический анемия
коллапс;брадикардия
снижение артериальный давление (АД);тахикардия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;снижать почечный кровоток
уменьшение образование ион бикарбонат;снижение транспорт натрий внутрь клетка проксимальный отдел нефрон
зипразидон;изменение световосприятие (фотопсия)
влияние на обратный захват нейронами норадреналин;инфаркт миокарда
избирательно блокировать рецептор подтип AT1;выраженный снижение ад
фозиноприл;гипертензия
эритромицин;запор
эналаприл;системный головокружение
брадикардия;обморок
повышение концентрация циклический гуанозинмонофосфат (цГМФ);увеличение почечный кровоток
антагонист альдостерона;гинекомастия
аллопуринол;парестезии
морфин;сердечный недостаточность
небиволол;усугубление течение псориаз
гиперкалиемия;аритмия
аллопуринол;лихорадка
ингибировать действие na+/к +-атф-фаза на мембрана кардиомиоцит;увеличение внутриклеточный содержание ион натрий
эналаприл;астения
фелодипин;повышение активность «печеночный» фермент
лизиноприл;сонливость
валсартан;снижение гематокрит
рамиприл;конъюнктивит
соталола;стенокардия
амлодипин;лейкопения/нейтропение
колхицин;бессимптомное увеличение концентрация печеночный фермент
каптоприл;повышение титр антинуклеарный антитело
парентерально;эндотрахеальный
селективный бетаадреноблокатор;небиволол
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;психотические нарушения
способствовать периферический вазодилатация;антигипертензивный действие
колхицин;депрессия
нитроглицерин;кожный сыпь
периндоприл;экзантема
гипонатриемия;панкреатит
цизаприд;повышение концентрация креатинин
галофантрина;изменение световосприятие (фотопсия)
эналаприл;гипонатриемия
гидрохлоротиазид;хориоидальный выпот
дизопирамида;стенокардия
лизиноприл;протеинурия
снижаться конечный объём сердце диастолический;сокращение он размер
положительный инотропный действие;аритмия
амлодипин;никтурия
периндоприл;ринит
норэпинефрин;тревога
хинидин;тахикардия
снижать сосудистый сопротивление в почка;усиливать перфузия почка
уменьшение образование угольный кислота;снижение реабсорбция эпителий каналец бикарбонат
каптоприл;эозинофилия
фуросемид;обострение системный красный волчанка
гидрохлоротиазид;гемолитический анемия
антиаритмический средство, удлинять интервал qt;соталола
подавлять агрегация тромбоцит;гематома
оказывать сосудорасширяющий действие;гиперемия кожа лицо
соталола;ангионевротический отёк
периферический действие;влияние на гипоталамо- гипофизарный ось
повышать возбудимость миокард;фибрилляция желудочек
суицидальный мысль;суицидальный поведение
лизиноприл;лейкоцитоз
каптоприл;пемфигоидный реакция
ранолазин;походка
блокатор адренорецептор β1;уменьшать пред- и постнагрузка на сердце
уменьшать общий периферический сосудистый сопротивление;уменьшать общий ишемический нагрузка
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;парестезия
фозиноприл;нарушение со стороны полости рта
каптоприл;гипертермия
сакубитрил;головокружение
эсциталопрам;тошнота
метформин;снижать концентрация липопротеин низкий плотность
фелодипин;гипергликемия
фелодипин;артралгия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;повышать автоматизм миокард
дизопирамида;ангионевротический отёк
небиволол;ав-блокада
фозиноприл;обморок
амлодипин;увеличение масса тело
эритромицин;двигательный беспокойство
эсциталопрам;печень
пентамидин;боль за грудина
триметазидин;сонливость
амлодипин;гиперемия кожа лицо
лизиноприл;повышенный потоотделение
валсартан;нарушение функция печень
антигипертензивный действие;снижение артериальный давление
инфаркт миокард;остановка сердце
вазоконстрикция;увеличение центральный венозный давление
колхицин;нарушение функция печень
антигипертензивный действие;гипотензия
почка;почечный недостаточность
норэпинефрин;стимулировать действие β-адренорецептор сердце
норэпинефрин;усиление сердечнососудистый эффект
эналаприл;повышенный утомляемость
карведилол;стенокардия
лизиноприл;спутанность сознание
нитроглицерин;сухость в рот
зипразидон;шок (у пациент с бронхиальный астма)
аллопуринол;тромбоцитопения
эсциталопрам;подкожный кровоизлияние
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;судорожный расстройство
эритромицин;av блокада ii и iii степень
синдром «отмена»;нервозность
снижение концентрация альдостерон;снижением общего периферического сопротивления сосудов
карведилол;поражение кожа по тип псориаз и красный плоский лишать
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;ингибировать индуцированное антигенами высвобождение гистамина
рамиприл;синусит
лизиноприл;диарея
отрицательный дромотропный эффект;узловой тахикардия
лизиноприл;ангионевротический отёк лицо, конечность, губа, язык, гортань и/или глотка
ортостатический гипотензия;головокружение
аллопуринол;реакция гиперчувствительность
центральный действие;серьёзный неврологический нарушение
блокировать;адренорецептор β1
эналаприл;стоматит
бепридить;мидриаз
карведилол;уменьшение слезоотделение
лс, удлинять интервал qt, не относиться к антиаритмический средство;пентамидин
уменьшение образование ион бикарбонат;снижение транспорт натрий внутрь клетка реснитчатый тело
дигоксин;головной боль
фелодипин;грипп
сертиндол;реакция гиперчувствительность
каптоприл;повышение соэ
амиодарон;синдром слабость синусовый узел
амлодипин;гастрит
зипразидон;запор
повышение плазменный концентрация ангиотензин ii;стимулировать at2 рецептор
антигипертензивный эффект;ортостатический гипотензия
галофантрина;шок (у пациент с бронхиальный астма)
эсциталопрам;повышенный потоотделение
ивабрадин;мидриаз
соталола;азотемия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;увеличивать сердечный сокращение сила
периндоприлат;ингибитор апф
гипонатриемия;усталость
сертиндол;эритема
ацетазоламид;токсический эпидермальный некролиз
карведилол;отёк
сертралин;кал
триметазидин;«прилив» кровь к кожа лицо
устранять спазм бронхиол;предотвращать развитие отек их слизистый оболочка
ранолазин;метеоризм
фелодипин;зрительный расстройство
хинидин;азотемия
повышать возбудимость миокард;тахикардия
фелодипин;инфаркт миокарда
пимозид;эритема
периндоприл;пемфигоид
фуросемид;апластический анемия
стимулировать действие α-адренорецептор;психотический состояние
активация натрий/кальциевый обмен;повышение содержание ион кальций
снижать давление в лёгочный капилляр артериальный давление;головокружение
рамиприл;синкопальный состояние
амиодарон;бронхоспазм
вызывает выведение;метаболитический нарушение
галофантрина;запор
пентамидин;удлинение интервал qt на экг
лизиноприл;синдром стивенс-джонсон
