"drug";"effect";"frequency";"max_probability";"min_probability"
Апиксабан;внутрибрюшной кровоизлияние;Не часто;;
Апиксабан;кровотечение из рот;Не часто;;
Апиксабан;ретроперитональный кровоизлияние;Редко;0.001;0.0001
Апиксабан;гипотония;Часто;0.1;0.01
Апиксабан;периферический отёк;Часто;0.1;0.01
Апиксабан;мерцательный аритмия;Часто;0.1;0.01
Апиксабан;сердечный недостаточность;Часто;0.1;0.01
Апиксабан;гипертония;Часто;0.1;0.01
Апиксабан;тромбоз глубокий вено;Часто;0.1;0.01
Апиксабан;тахикардия;Часто;0.1;0.01
Апиксабан;застойный сердечный недостаточность;Часто;0.1;0.01
Апиксабан;тромбоз;Часто;0.1;0.01
Апиксабан;стенокардия;Часто;0.1;0.01
Апиксабан;брадикардия;Часто;0.1;0.01
Апиксабан;повышение артериальный давление;Часто;0.1;0.01
Апиксабан;процедурный гипотония;Часто;0.1;0.01
Апиксабан;нестабильный стенокардия;Часто;0.1;0.01
Апиксабан;головокружение;Часто;0.1;0.01
Апиксабан;головной боль;Часто;0.1;0.01
Апиксабан;усталость;Часто;0.1;0.01
Апиксабан;обморок;Часто;0.1;0.01
Апиксабан;ишемический инсульт;Часто;0.1;0.01
Апиксабан;сонливость;Не часто;;
Апиксабан;инсульт;Не часто;;
Апиксабан;переходный ишемический атака;Не часто;;
Апиксабан;обширный внутричерепной кровотечение;Не часто;;
Апиксабан;кровоизлияние мозг;Не часто;;
Апиксабан;другой внутричерепной или внутриспинальный кровоизлияние (включая субдуральный гематома);Не часто;;
Апиксабан;субарахноидальный кровоизлияние;Не часто;;
Апиксабан;гематома позвоночник;Не часто;;
Апиксабан;гематома;Часто;0.1;0.01
Апиксабан;кровотечение из рана;Часто;0.1;0.01
Апиксабан;выделение из рана;Часто;0.1;0.01
Апиксабан;кровотечение в область разрез;Не часто;;
Апиксабан;операционный кровоизлияние;Не часто;;
Апиксабан;травматический гематома;Не часто;;
Апиксабан;гематома в место инъекция;Не часто;;
Апиксабан;гематома в место пункция сосуд;Не часто;;
Апиксабан;кровотечение в место применение;Не часто;;
Апиксабан;травматический кровотечение;Не часто;;
Апиксабан;катаракт;Часто;0.1;0.01
Апиксабан;конъюнктивальный кровоизлияние;Часто;0.1;0.01
Апиксабан;глазной кровоизлияние;Часто;0.1;0.01
Апиксабан;обширный внутриглазной кровотечение;Не часто;;
Апиксабан;периорбитальный гематома;Не часто;;
Апиксабан;кровоизлияние сетчатка;Не часто;;
Апиксабан;назофарингит;Часто;0.1;0.01
Апиксабан;одышка;Часто;0.1;0.01
Апиксабан;эпистаксис;Часто;0.1;0.01
Апиксабан;бронхит;Часто;0.1;0.01
Апиксабан;кашель;Часто;0.1;0.01
Апиксабан;инфекция верхний дыхательный путь;Часто;0.1;0.01
Апиксабан;грипп;Часто;0.1;0.01
Апиксабан;пневмония;Часто;0.1;0.01
Апиксабан;синусит;Часто;0.1;0.01
Апиксабан;хронический обструктивный болезнь лёгкий;Часто;0.1;0.01
Апиксабан;инфекция нижний дыхательный путь;Часто;0.1;0.01
Апиксабан;кровохаркание;Часто;0.1;0.01
Апиксабан;инфекция дыхательный путь;Часто;0.1;0.01
Апиксабан;лёгочный эмболия;Редко;0.001;0.0001
Апиксабан;кровоизлияние дыхательный путь (включая лёгочный альвеолярный кровоизлияние);Редко;0.001;0.0001
Апиксабан;геморранический кровоизлияние в гортань;Редко;0.001;0.0001
Апиксабан;кровоизлияние в глотка;Редко;0.001;0.0001
Апиксабан;боль при проведение процедура;Очень часто;1.0;0.1
Апиксабан;пирексия;Часто;0.1;0.01
Апиксабан;боль в грудь;Часто;0.1;0.01
Апиксабан;падение;Часто;0.1;0.01
Апиксабан;астения;Часто;0.1;0.01
Апиксабан;увеличение креатин-фосфокиназа кровь;Часто;0.1;0.01
Апиксабан;боль;Часто;0.1;0.01
Апиксабан;увеличение температура тело;Часто;0.1;0.01
Апиксабан;раскольчатый рана;Часто;0.1;0.01
Апиксабан;дискомфорт в грудной клетка;Часто;0.1;0.01
Апиксабан;осложнение после удаление зуб;Часто;0.1;0.01
Апиксабан;опоясывать лишать;Не часто;;
Апиксабан;инфекция мочевыводящий путь;Часто;0.1;0.01
Апиксабан;меноррагия;Часто;0.1;0.01
Апиксабан;вагинальный кровоизлияние;Не часто;;
Апиксабан;метроррагия;Не часто;;
Апиксабан;менометроррагия;Не часто;;
Апиксабан;генитальный кровоизлияние;Не часто;;
Апиксабан;наличие кровь в моча;Не часто;;
Апиксабан;эритроцит в моча;Не часто;;
Апиксабан;аномальный вагинальный кровоизлияние;Не часто;;
Апиксабан;морфогенетический кровоизлияние;Не часто;;
Апиксабан;гематурия;Часто;0.1;0.01
Апиксабан;увеличение креатинин в кровь;Часто;0.1;0.01
Апиксабан;почечный недостаточность;Часто;0.1;0.01
Апиксабан;артралгия;Часто;0.1;0.01
Апиксабан;боль в спина;Часто;0.1;0.01
Апиксабан;боль в конечность;Часто;0.1;0.01
Апиксабан;остеоартрит;Часто;0.1;0.01
Апиксабан;мышечный спазм;Часто;0.1;0.01
Апиксабан;мышечный-скелетный боль;Часто;0.1;0.01
Апиксабан;миалгия;Часто;0.1;0.01
Апиксабан;артрит;Часто;0.1;0.01
Апиксабан;мышечный кровоизлияние;Не часто;;
Апиксабан;отёк сустав;Не часто;;
Апиксабан;подагра;Часто;0.1;0.01
Апиксабан;сахарный диабет;Часто;0.1;0.01
Апиксабан;увеличение уровень глюкоза в кровь;Часто;0.1;0.01
Апиксабан;гипергликемия;Часто;0.1;0.01
Апиксабан;гипокалиемия;Часто;0.1;0.01
Апиксабан;снижение аппетит;Часто;0.1;0.01
Апиксабан;гиперчувствительность;Не часто;;
Апиксабан;повышенный уровень трансаминаза;Не часто;;
Апиксабан;повышенный уровень аста;Не часто;;
Апиксабан;увеличение алта;Не часто;;
Апиксабан;повышенный уровень гамма-глутамилтрансфераза (ггт);Не часто;;
Апиксабан;повышенный уровень щелочной фосфатаз в кровь;Не часто;;
Апиксабан;повышение уровень билирубин в кровь;Не часто;;
Апиксабан;бессонница;Часто;0.1;0.01
Апиксабан;депрессия;Часто;0.1;0.01
Апиксабан;тревожность;Не часто;;
Апиксабан;зуд;Часто;0.1;0.01
Апиксабан;контузия;Часто;0.1;0.01
Апиксабан;сыпь;Часто;0.1;0.01
Апиксабан;целлюлита;Часто;0.1;0.01
Апиксабан;экхимоза;Часто;0.1;0.01
Апиксабан;эритема;Часто;0.1;0.01
Апиксабан;волдырь;Часто;0.1;0.01
Апиксабан;кожный кровоизлияние;Не часто;;
Апиксабан;петехия;Не часто;;
Апиксабан;кожный сыпь;Не часто;;
Апиксабан;базальноклеточный карцинома;Не часто;;
Бисопролол;брадикардия;Очень часто;1.0;0.1
Бисопролол;боль в грудь;Часто;0.1;0.01
Бисопролол;обострение сердечный недостаточность;Часто;0.1;0.01
Бисопролол;гипотония;Часто;0.1;0.01
Бисопролол;холодное конечность;Часто;0.1;0.01
Бисопролол;периферический отёк;Часто;0.1;0.01
Бисопролол;ишемия;Часто;0.1;0.01
Бисопролол;расстройство проводимость;Часто;0.1;0.01
Бисопролол;сердечный недостаточность левый желудочек;Часто;0.1;0.01
Бисопролол;сердцебиение;Часто;0.1;0.01
Бисопролол;заболевание вено;Часто;0.1;0.01
Бисопролол;атриовентрикулярный нарушение;Не часто;;
Бисопролол;ортостатический гипотензия;Не часто;;
Бисопролол;нарушение ритм;Часто неизвеста;;
Бисопролол;хромота;Часто неизвеста;;
Бисопролол;головокружение;Очень часто;1.0;0.1
Бисопролол;головной боль;Часто;0.1;0.01
Бисопролол;онемение конечность;Часто;0.1;0.01
Бисопролол;цереброваскулярный расстройство;Часто;0.1;0.01
Бисопролол;обморок;Часто;0.1;0.01
Бисопролол;гипестезия;Часто;0.1;0.01
Бисопролол;парестезия;Часто неизвеста;;
Бисопролол;гиперестезия;Часто неизвеста;;
Бисопролол;сонливость;Часто неизвеста;;
Бисопролол;снижение концентрация/память;Часто неизвеста;;
Бисопролол;тремор;Часто неизвеста;;
Бисопролол;нарушение вкусовой ощущение;Часто неизвеста;;
Бисопролол;неустойчивость;Данные о частоте, собранные после продажи;;
Бисопролол;одышка;Очень часто;1.0;0.1
Бисопролол;пневмония;Часто;0.1;0.01
Бисопролол;бронхит;Часто;0.1;0.01
Бисопролол;кашель;Часто;0.1;0.01
Бисопролол;дыхание с затруднение при физический нагрузка;Часто;0.1;0.01
Бисопролол;инфекция верхний дыхательный путь;Часто;0.1;0.01
Бисопролол;респираторный дистресс;Часто;0.1;0.01
Бисопролол;стридора;Часто;0.1;0.01
Бисопролол;отёк дыхательный путь;Часто;0.1;0.01
Бисопролол;кровоизлияние дыхательный путь;Часто;0.1;0.01
Бисопролол;синусит;Часто;0.1;0.01
Бисопролол;бронхоспазм;Не часто;;
Бисопролол;аллергический ринит;Редко;0.001;0.0001
Бисопролол;перевод/изменение антитело к ядро;Очень часто;1.0;0.1
Бисопролол;вирусный инфекция;Часто;0.1;0.01
Бисопролол;зуд;Часто;0.1;0.01
Бисопролол;потоотделение;Не часто;;
Бисопролол;покраснение кожа;Редко;0.001;0.0001
Бисопролол;сыпь;Редко;0.001;0.0001
Бисопролол;алопеция;Очень редко;0.0001;0.0
Бисопролол;псориазоподобный сыпь;Очень редко;0.0001;0.0
Бисопролол;обострение псориаз;Очень редко;0.0001;0.0
Бисопролол;прыщ;Часто неизвеста;;
Бисопролол;экзема;Часто неизвеста;;
Бисопролол;раздражение кожа;Часто неизвеста;;
Бисопролол;кожный васкулит;Часто неизвеста;;
Бисопролол;дерматит;Данные о частоте, собранные после продажи;;
Бисопролол;отшелушиваться дерматит;Данные о частоте, собранные после продажи;;
Бисопролол;тошнота;Часто;0.1;0.01
Бисопролол;рвота;Часто;0.1;0.01
Бисопролол;диарея;Часто;0.1;0.01
Бисопролол;запор;Часто;0.1;0.01
Бисопролол;диспепсия;Часто;0.1;0.01
Бисопролол;боль в эпигастрия;Часто;0.1;0.01
Бисопролол;боль в живот;Часто;0.1;0.01
Бисопролол;гастрит;Часто;0.1;0.01
Бисопролол;сухость в рот;Часто;0.1;0.01
Бисопролол;желудочный боль;Часто неизвеста;;
Бисопролол;язва желудок;Часто неизвеста;;
Бисопролол;нарушение обмен пурин;Часто;0.1;0.01
Бисопролол;наружение углеводный метаболизм;Часто;0.1;0.01
Бисопролол;изменение вес;Часто;0.1;0.01
Бисопролол;изменение уровень холестерин;Часто;0.1;0.01
Бисопролол;изменение уровень калий;Часто;0.1;0.01
Бисопролол;изменение уровень липид в кровь;Часто;0.1;0.01
Бисопролол;повышенный триглицерид;Редко;0.001;0.0001
Бисопролол;подагра;Часто неизвеста;;
Бисопролол;увеличение мочевой кислота и глюкоза;Данные о частоте, собранные после продажи;;
Бисопролол;боль в конечность;Часто;0.1;0.01
Бисопролол;миалгия;Часто;0.1;0.01
Бисопролол;артропатия;Часто;0.1;0.01
Бисопролол;артралгия;Часто;0.1;0.01
Бисопролол;мышечный слабость;Не часто;;
Бисопролол;судорога;Не часто;;
Бисопролол;боль в спина;Часто неизвеста;;
Бисопролол;боль в шея;Часто неизвеста;;
Бисопролол;миокимия;Часто неизвеста;;
Бисопролол;астения;Часто;0.1;0.01
Бисопролол;усталость;Часто;0.1;0.01
Бисопролол;боль в тело;Часто;0.1;0.01
Бисопролол;высокий температура;Часто;0.1;0.01
Бисопролол;недомогание;Часто;0.1;0.01
Бисопролол;расстройство слух;Редко;0.001;0.0001
Бисопролол;боль ухо;Часто неизвеста;;
Бисопролол;шум в ухо;Часто неизвеста;;
Бисопролол;бессонница;Часто;0.1;0.01
Бисопролол;тревожность;Часто;0.1;0.01
Бисопролол;нарушение сон;Не часто;;
Бисопролол;депрессия;Не часто;;
Бисопролол;кошмар;Редко;0.001;0.0001
Бисопролол;галлюцинация;Редко;0.001;0.0001
Бисопролол;беспокойство;Часто неизвеста;;
Бисопролол;инфекция мочевыводящий путь;Часто;0.1;0.01
Бисопролол;расстройство потенция;Редко;0.001;0.0001
Бисопролол;снижение либидо;Часто неизвеста;;
Бисопролол;болезнь пейронить;Часто неизвеста;;
Бисопролол;полиурия;Часто неизвеста;;
Бисопролол;гепатомегалий;Часто;0.1;0.01
Бисопролол;увеличение фермент печень (алта);Редко;0.001;0.0001
Бисопролол;аста;Редко;0.001;0.0001
Бисопролол;гепатит;Редко;0.001;0.0001
Бисопролол;гиперчувствительность;Редко;0.001;0.0001
Бисопролол;ангионевротический образование;Данные о частоте, собранные после продажи;;
Бисопролол;снижение выделение слеза;Редко;0.001;0.0001
Бисопролол;конъюнктивит;Очень редко;0.0001;0.0
Бисопролол;нарушение зрение;Часто неизвеста;;
Бисопролол;глазной боль;Часто неизвеста;;
Бисопролол;внутриглазной давление;Часто неизвеста;;
Бисопролол;цистит;Часто неизвеста;;
Бисопролол;почечный колика;Часто неизвеста;;
Бисопролол;повышенный креатинин и уровень азот мочевина в кровь (bun);Данные о частоте, собранные после продажи;;
Бисопролол;пурпур;Данные о частоте, собранные после продажи;;
Бисопролол;снижение уровень лейкоцит и тромбоцит;Данные о частоте, собранные после продажи;;
Канаглифлозин;потеря нижний конечность;Часто;0.1;0.01
Канаглифлозин;перелом кость;Не часто;;
Канаглифлозин;перелом верхний конечность;Не часто;;
Канаглифлозин;потеря минеральный плотность кость в бедро и ниже позвоночник;Часто неизвеста;;
Канаглифлозин;генитальный грибковый инфекция у женщина, включая вульвовагинальный грибковый инфекция;Очень часто;1.0;0.1
Канаглифлозин;вульвовагинит;Очень часто;1.0;0.1
Канаглифлозин;вагинальный инфекция;Очень часто;1.0;0.1
Канаглифлозин;вульвит;Очень часто;1.0;0.1
Канаглифлозин;грибковый инфекция гениталии;Очень часто;1.0;0.1
Канаглифлозин;рецидивировать грибковый инфекция мужской половой орган;Очень часто;1.0;0.1
Канаглифлозин;инфекция мочевыводящий путь;Часто;0.1;0.01
Канаглифлозин;учащённый мочеиспускание;Часто;0.1;0.01
Канаглифлозин;генитальный грипковый инфекция у мужчина, включая баланита;Часто;0.1;0.01
Канаглифлозин;баланопостить;Часто;0.1;0.01
Канаглифлозин;кандидозный баланита;Часто;0.1;0.01
Канаглифлозин;грибковый генитальный инфекция;Часто;0.1;0.01
Канаглифлозин;фимоз;Не часто;;
Канаглифлозин;уросепсис;Данные о частоте, собранные после продажи;;
Канаглифлозин;пилонефрит;Данные о частоте, собранные после продажи;;
Канаглифлозин;гангрена фурние;Данные о частоте, собранные после продажи;;
Канаглифлозин;побочный реакция, связанный с уменьшение внутрисосудистый объём (постуральный гипотензия);Часто;0.1;0.01
Канаглифлозин;ортостатический гипотензия;Часто;0.1;0.01
Канаглифлозин;гипотония;Часто;0.1;0.01
Канаглифлозин;обезвоживание;Часто;0.1;0.01
Канаглифлозин;синкопа;Часто;0.1;0.01
Канаглифлозин;гипогликемия, в сочетание с инсулин или секретаж инсулин;Очень часто;1.0;0.1
Канаглифлозин;гиперкалиемия;Очень часто;1.0;0.1
Канаглифлозин;увеличение магний в сыворотка;Часто;0.1;0.01
Канаглифлозин;увеличение уровень фосфат в сыворотка;Часто;0.1;0.01
Канаглифлозин;увеличение липопротеин низкий плотность;Часто;0.1;0.01
Канаглифлозин;ацидоз, включая диабетический кетоацидоз;Данные о частоте, собранные после продажи;;
Канаглифлозин;кетоацидоз;Данные о частоте, собранные после продажи;;
Канаглифлозин;кетоз;Данные о частоте, собранные после продажи;;
Канаглифлозин;запор;Часто;0.1;0.01
Канаглифлозин;жажда;Часто;0.1;0.01
Канаглифлозин;тошнота;Часто;0.1;0.01
Канаглифлозин;боль в живот;Часто;0.1;0.01
Канаглифлозин;панкреатит;Часто;0.1;0.01
Канаглифлозин;гиперчувствительность реакция, включая сыпь;Часто;0.1;0.01
Канаглифлозин;зуд;Часто;0.1;0.01
Канаглифлозин;крапивница;Часто;0.1;0.01
Канаглифлозин;ангионевротический отёк;Часто;0.1;0.01
Канаглифлозин;серьёзный реакция гиперчувствительность;Часто неизвеста;;
Канаглифлозин;анафилаксия;Данные о частоте, собранные после продажи;;
Канаглифлозин;увеличение креатинин в сыворотка;Часто неизвеста;;
Канаглифлозин;уснижение скорость клубочковый фильтрация (скф);Часто неизвеста;;
Канаглифлозин;нарушение функция почка;Часто неизвеста;;
Канаглифлозин;острый почечный недостаточность;Часто неизвеста;;
Канаглифлозин;острый травма почка;Данные о частоте, собранные после продажи;;
Канаглифлозин;рак почка;Не часто;;
Канаглифлозин;реакция повышенный чувствительность к свет;Не часто;;
Канаглифлозин;сыпь;Не часто;;
Канаглифлозин;усталость;Часто;0.1;0.01
Канаглифлозин;астения;Часто;0.1;0.01
Канаглифлозин;падение;Часто;0.1;0.01
Кандесартан;инфекция верхний дыхательный путь;Часто;0.1;0.01
Кандесартан;фарингит;Часто;0.1;0.01
Кандесартан;ринит;Часто;0.1;0.01
Кандесартан;назофарингит;Часто;0.1;0.01
Кандесартан;кашель;Очень редко;0.0001;0.0
Кандесартан;нарушение функция почка;Часто;0.1;0.01
Кандесартан;увеличение креатинин;Часто;0.1;0.01
Кандесартан;увеличение уровень мочевина;Часто;0.1;0.01
Кандесартан;головокружение;Часто;0.1;0.01
Кандесартан;головной боль;Часто;0.1;0.01
Кандесартан;сонливость;Очень редко;0.0001;0.0
Кандесартан;гипотония;Часто;0.1;0.01
Кандесартан;синусовый аритмия;Часто;0.1;0.01
Кандесартан;тахикардия;Очень редко;0.0001;0.0
Кандесартан;увеличение алта;Часто;0.1;0.01
Кандесартан;нарушение функция печень;Не часто;;
Кандесартан;повышенный уровень аста;Не часто;;
Кандесартан;гепатит;Очень редко;0.0001;0.0
Кандесартан;гиперкалиемия;Часто;0.1;0.01
Кандесартан;гипонатриемия;Не часто;;
Кандесартан;боль в спина;Часто;0.1;0.01
Кандесартан;артралгия;Очень редко;0.0001;0.0
Кандесартан;миалгия;Очень редко;0.0001;0.0
Кандесартан;рабдомиолиз;Часто неизвеста;;
Кандесартан;сыпь;Часто;0.1;0.01
Кандесартан;зуд;Очень редко;0.0001;0.0
Кандесартан;крапивница;Очень редко;0.0001;0.0
Кандесартан;пирексия;Часто;0.1;0.01
Кандесартан;ажитация;Очень редко;0.0001;0.0
Кандесартан;тревожность;Очень редко;0.0001;0.0
Кандесартан;депрессия;Очень редко;0.0001;0.0
Кандесартан;бессонница;Очень редко;0.0001;0.0
Кандесартан;нервозность;Очень редко;0.0001;0.0
Кандесартан;кошмар;Очень редко;0.0001;0.0
Кандесартан;расстройство сон;Очень редко;0.0001;0.0
Кандесартан;нейтропения;Очень редко;0.0001;0.0
Кандесартан;лейкопения;Очень редко;0.0001;0.0
Кандесартан;агранулоцитоз;Очень редко;0.0001;0.0
Кандесартан;тошнота;Очень редко;0.0001;0.0
Кандесартан;ороглоточный боль;Часто неизвеста;;
Кандесартан;ангионевротический образование;Очень редко;0.0001;0.0
Каптоприл;сыпь;Очень часто;1.0;0.1
Каптоприл;зуд;Часто;0.1;0.01
Каптоприл;алопеция;Часто;0.1;0.01
Каптоприл;ангионевротический образование;Не часто;;
Каптоприл;крапивница;Очень редко;0.0001;0.0
Каптоприл;синдром стивенс-джонсон;Очень редко;0.0001;0.0
Каптоприл;многоформенный экссудативный эритема;Очень редко;0.0001;0.0
Каптоприл;светочувствительность;Очень редко;0.0001;0.0
Каптоприл;эритродерма;Очень редко;0.0001;0.0
Каптоприл;пемфигоидный реакция;Очень редко;0.0001;0.0
Каптоприл;отшелушиваться дерматит;Очень редко;0.0001;0.0
Каптоприл;тошнота;Часто;0.1;0.01
Каптоприл;рвота;Часто;0.1;0.01
Каптоприл;боль в живот;Часто;0.1;0.01
Каптоприл;сухость в рот;Часто;0.1;0.01
Каптоприл;диарея;Часто;0.1;0.01
Каптоприл;запор;Часто;0.1;0.01
Каптоприл;раздражение желудок;Часто;0.1;0.01
Каптоприл;стоматит/афтуознать язва;Редко;0.001;0.0001
Каптоприл;язва в ротовой поолость;Редко;0.001;0.0001
Каптоприл;ангионеврочный отёк кишечник;Редко;0.001;0.0001
Каптоприл;глоссит;Очень редко;0.0001;0.0
Каптоприл;язва желудок;Очень редко;0.0001;0.0
Каптоприл;панкреатит;Очень редко;0.0001;0.0
Каптоприл;головокружение;Часто;0.1;0.01
Каптоприл;нарушение вкус;Часто;0.1;0.01
Каптоприл;потеря вкус;Часто;0.1;0.01
Каптоприл;парестезия;Редко;0.001;0.0001
Каптоприл;головной боль;Редко;0.001;0.0001
Каптоприл;сонливость;Редко;0.001;0.0001
Каптоприл;цереброваскулярный происшествие;Очень редко;0.0001;0.0
Каптоприл;обморок;Часто неизвеста;;
Каптоприл;атаксия;Часто неизвеста;;
Каптоприл;кашель;Часто;0.1;0.01
Каптоприл;одышка;Часто;0.1;0.01
Каптоприл;бронхоспазм;Редко;0.001;0.0001
Каптоприл;ринит;Очень редко;0.0001;0.0
Каптоприл;аллергический альвеолит/эозинофильный пневмония;Очень редко;0.0001;0.0
Каптоприл;гипотония;Часто;0.1;0.01
Каптоприл;тахикардия или тахиаритмия;Не часто;;
Каптоприл;стенокардия;Не часто;;
Каптоприл;тахикардия;Не часто;;
Каптоприл;синдром рейно;Не часто;;
Каптоприл;покраснение кожа;Не часто;;
Каптоприл;бледность;Не часто;;
Каптоприл;инфаркт миокард;Не часто;;
Каптоприл;застойный сердечный недостаточность;Не часто;;
Каптоприл;остановка сердце;Очень редко;0.0001;0.0
Каптоприл;кардиогенный шок;Очень редко;0.0001;0.0
Каптоприл;нарушение ритм;Часто неизвеста;;
Каптоприл;ортостатический гипотензия;Часто неизвеста;;
Каптоприл;протеинурия;Часто;0.1;0.01
Каптоприл;полиурия;Не часто;;
Каптоприл;олигурия;Не часто;;
Каптоприл;частый мочеиспускание;Не часто;;
Каптоприл;импотенция;Редко;0.001;0.0001
Каптоприл;расстройство сон;Часто;0.1;0.01
Каптоприл;снижение либидо;Редко;0.001;0.0001
Каптоприл;путаница;Очень редко;0.0001;0.0
Каптоприл;депрессия;Очень редко;0.0001;0.0
Каптоприл;нервозность;Часто неизвеста;;
Каптоприл;боль в грудь;Не часто;;
Каптоприл;усталость;Не часто;;
Каптоприл;недомогание;Не часто;;
Каптоприл;гинекомастие;Очень редко;0.0001;0.0
Каптоприл;высокий температура;Очень редко;0.0001;0.0
Каптоприл;астения;Часто неизвеста;;
Каптоприл;повышенный уровень щелочной фосфатаз;Часто неизвеста;;
Каптоприл;почечный недостаточность;Не часто;;
Каптоприл;острый почечный недостаточность;Не часто;;
Каптоприл;нефротический синдром;Не часто;;
Каптоприл;повышенный уровень мочевина в кровь;Очень редко;0.0001;0.0
Каптоприл;повышение уровень креатинин сыворотка;Очень редко;0.0001;0.0
Каптоприл;гломерулопатия;Часто неизвеста;;
Каптоприл;анорексия;Редко;0.001;0.0001
Каптоприл;потеря вес;Редко;0.001;0.0001
Каптоприл;потеря аппетит;Редко;0.001;0.0001
Каптоприл;гиперкалиемия;Очень редко;0.0001;0.0
Каптоприл;гипогликемия;Очень редко;0.0001;0.0
Каптоприл;увеличение уровный калий в сыворотка;Очень редко;0.0001;0.0
Каптоприл;понижение натрий в сыворотка;Очень редко;0.0001;0.0
Каптоприл;гипонатриемия;Часто неизвеста;;
Каптоприл;нарушение зрение;Редко;0.001;0.0001
Каптоприл;сухость глаз;Редко;0.001;0.0001
Каптоприл;зуд глаз;Редко;0.001;0.0001
Каптоприл;размытый зрение;Очень редко;0.0001;0.0
Каптоприл;нейтропения/агранулоцитоз;Очень редко;0.0001;0.0
Каптоприл;панситопения;Очень редко;0.0001;0.0
Каптоприл;анемия;Очень редко;0.0001;0.0
Каптоприл;тромбоцитопения;Очень редко;0.0001;0.0
Каптоприл;лимфаденопатия;Очень редко;0.0001;0.0
Каптоприл;эозинофилия;Очень редко;0.0001;0.0
Каптоприл;снижение уровень гемоглобин;Очень редко;0.0001;0.0
Каптоприл;снижение гематокрит;Очень редко;0.0001;0.0
Каптоприл;уменьшение число лейкоцит;Очень редко;0.0001;0.0
Каптоприл;снижение уровень тромбоцит;Очень редко;0.0001;0.0
Каптоприл;повышенный скорость оседание эритроцит (соэ);Очень редко;0.0001;0.0
Каптоприл;повышение фермент печень;Очень редко;0.0001;0.0
Каптоприл;повышение билирубин;Очень редко;0.0001;0.0
Каптоприл;нарушение функция печень;Очень редко;0.0001;0.0
Каптоприл;холестаз;Очень редко;0.0001;0.0
Каптоприл;гепатит;Очень редко;0.0001;0.0
Каптоприл;желтуха;Часто неизвеста;;
Каптоприл;аутоиммунный заболевание;Очень редко;0.0001;0.0
Каптоприл;положительный титр антинуклеарный антитело;Очень редко;0.0001;0.0
Каптоприл;синдром, похожий на сывороточный болезнь;Часто неизвеста;;
Каптоприл;анафилактоидный реакция;Часто неизвеста;;
Каптоприл;миалгия;Очень редко;0.0001;0.0
Каптоприл;артралгия;Очень редко;0.0001;0.0
Каптоприл;миастения;Часто неизвеста;;
Карведилол;боль в грудь;Очень часто;1.0;0.1
Карведилол;гипотония;Очень часто;1.0;0.1
Карведилол;сердечный недостаточность;Очень часто;1.0;0.1
Карведилол;брадикардия;Часто;0.1;0.01
Карведилол;отёк;Часто;0.1;0.01
Карведилол;гиперволемия;Часто;0.1;0.01
Карведилол;ортостатический гипотензия;Часто;0.1;0.01
Карведилол;гипертония;Часто;0.1;0.01
Карведилол;обморок;Часто;0.1;0.01
Карведилол;нарушение периферический циркуляция;Часто;0.1;0.01
Карведилол;холодное конечность;Часто;0.1;0.01
Карведилол;периферический сосудистый заболевание;Часто;0.1;0.01
Карведилол;обострение перемежаться хромота;Часто;0.1;0.01
Карведилол;синдром рейно;Часто;0.1;0.01
Карведилол;атриовентрикулярный блокада;Не часто;;
Карведилол;стенокардия;Не часто;;
Карведилол;тахикардия;Не часто;;
Карведилол;полный атриовентрикулярный блокада;Редко;0.001;0.0001
Карведилол;блокада ветвь пучок;Редко;0.001;0.0001
Карведилол;миокардиальный ишемия;Редко;0.001;0.0001
Карведилол;цереброваскулярный расстройство;Редко;0.001;0.0001
Карведилол;аллергический экзантема;Не часто;;
Карведилол;дерматит;Не часто;;
Карведилол;крапивница;Не часто;;
Карведилол;зуд;Не часто;;
Карведилол;псориатический и лишайноподобный кожный высыпание;Не часто;;
Карведилол;повышение потоотделение;Не часто;;
Карведилол;алопеция;Не часто;;
Карведилол;эритематочный сыпь;Не часто;;
Карведилол;макулопапулярный сыпь;Не часто;;
Карведилол;реакция фоточувствительность;Не часто;;
Карведилол;синдром стивенс-джонсон;Редко;0.001;0.0001
Карведилол;токсический эпидермальный некролиз;Редко;0.001;0.0001
Карведилол;многоформенный экссудативный эритема;Редко;0.001;0.0001
Карведилол;тошнота;Часто;0.1;0.01
Карведилол;диарея;Часто;0.1;0.01
Карведилол;рвота;Часто;0.1;0.01
Карведилол;диспепсия;Часто;0.1;0.01
Карведилол;боль в живот;Часто;0.1;0.01
Карведилол;мелена;Часто;0.1;0.01
Карведилол;периодонтит;Часто;0.1;0.01
Карведилол;инфекция мочевыводящий путь;Часто;0.1;0.01
Карведилол;расстройство мочеиспускание;Часто;0.1;0.01
Карведилол;гематурия;Часто;0.1;0.01
Карведилол;эректильный дисфункция;Не часто;;
Карведилол;недержание моча у женщина;Данные о частоте, собранные после продажи;;
Карведилол;увеличение вес;Часто;0.1;0.01
Карведилол;гиперхолестеринемия;Часто;0.1;0.01
Карведилол;нарушение уровень глюкоза в кровь (гипергликемия);Часто;0.1;0.01
Карведилол;гипогликемия у пациент с предшествовать диабет;Часто;0.1;0.01
Карведилол;подагра;Часто;0.1;0.01
Карведилол;повышенный уровень мочевина в кровь;Часто;0.1;0.01
Карведилол;обезвоживание;Часто;0.1;0.01
Карведилол;анемия;Часто;0.1;0.01
Карведилол;пурпур;Часто;0.1;0.01
