оригинал;перевод
changes in vision;Изменения в зрения
cold hands and feet;холодные руки и ноги
decreased interest in sexual intercourse;Снижение интереса к половым актерам
decreased tearing;Снижение разрыва
difficulty with moving;Сложность с движением
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
headache;головная боль
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
increased sweating;Повышение потоотделения
joint or muscle pain;боли в суставах или мышцах
lack or loss of strength;Недостаток или потеря силы
loose teeth;свободные зубы
loss of sexual ability, desire, or performance;потеря сексуальных способностей, желания или результатов
loss of strength or energy;потеря силы или энергии
muscle aches, stiffness, or weakness;мышечные боли, жесткость или слабость
nausea;тошнота
persistent breath odor or bad taste in your mouth;Постоянный запах дыхания или неприятный вкус во рту
redness and swelling of the gums;покраснение и набухание десен
sensation of spinning;Ощущение спиннинг
sleepiness or unusual drowsiness;сонливость или необычная сонливость
sore throat;больное горло
stomach pain;боль в животе
stuffy or runny nose;душной или жидкий нос
sugar in the urine;сахар в моче
trouble sleeping;Проблемы со сном
unusual weak feeling;необычное слабые чувства
vomiting;рвота
weight loss;потеря веса
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
black, tarry stools;Черный, табуретки
bloody stools;Кровавые табуретки
constipation;запор
diarrhea;диарея
heartburn;изжога
indigestion;расстройство желудка
nausea;тошнота
pain or burning in the throat;боль или гореть в горле
stomach discomfort, upset, burning, or pain;дискомфорт в животе, расстройство, сжигание или боль
vomiting;рвота
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
chest pain, discomfort, or tightness;Боль в груди, дискомфорт или стеснение
cough;кашель
difficulty with swallowing;Сложность при глотании
dizziness;головокружение
fainting or loss of consciousness;обморок или потеря сознания
fast or irregular breathing;быстрое или нерегулярное дыхание
pain or discomfort in the arms, jaw, back, or neck;боль или дискомфорт в руках, челюсти, спине или шеи
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
redness of the skin;покраснение кожи
skin rash, hives, welts, or itching skin;кожная сыпь, ульи, сэлты или зудящая кожа
sweating;потоотделение
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
bleeding gums;кровоточащие десны
blood in the urine;кровь в моче
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
pinpoint red spots on the skin;Определите красные пятна на коже
unusual bleeding or bruising;необычное кровотечение или синяки
hair loss or thinning of the hair;выпадение волос или истончение волос
anxiety;беспокойство
bladder pain;боль мочевого пузыря
bloody or cloudy urine;кровавая или облачная моча
blurred vision;размытое зрение
chills;озноб
cold sweats;Холодные поты
confusion;путаница
cool, pale skin;Прохладная, бледная кожа
decreased frequency or amount of urine;снижение частоты или количества мочи
depression;депрессия
difficult, burning, or painful urination;Сложный, горящий или болезненное мочеиспускание
dizziness;головокружение
fast heartbeat;Быстрое сердцебиение
frequent urge to urinate;Частое желание мочиться
headache;головная боль
increased hunger;Увеличение голода
increased thirst;Увеличение жажды
itching of the vagina or genitals;зуд влагалища или гениталии
loss of appetite;потеря аппетита
loss of consciousness;потеря сознания
lower back or side pain;боль в пояснице или боковой боли
nausea;тошнота
nightmares;кошмары
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
swelling of the face, fingers, or lower legs;Отек лица, пальцев или нижних ног
thick, white vaginal discharge with mild or no odor;толстый белый вагинальный разряд с легким или без запаха
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
weight gain;увеличение веса
foul smelling discharge from the penis;Пелесолоко
pain in the skin around the penis;боль в коже вокруг пениса
rash of the penis;сыпь пениса
redness, itching, or swelling of the penis;покраснение, зуд или отек пениса
cough;кашель
difficulty with swallowing;Сложность при глотании
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
dry mouth;сухой рот
fainting;обморок
increase in heart rate;Увеличение частоты сердечных сокращений
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или гениталии
lightheadedness;легкомысленность
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
rapid breathing;быстрое дыхание
skin rash, hives, or itching;кожная сыпь, ульи или зуд
sunken eyes;Затонувшие глаза
sweating;потоотделение
tightness in the chest;плотность в груди
wrinkled skin;морщинистая кожа
fever;высокая температура
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
loss of consciousness;потеря сознания
pain, tenderness, redness, or swelling of the area between the anus and genitals;боль, нежность, покраснение или набухание области между анусом и гениталиями
stomach pain;боль в животе
unexplained weight loss;необъяснимая потеря веса
muscle aches;мышечные боли
sore throat;больное горло
stuffy or runny nose;душной или жидкий нос
back pain;боль в спине
difficulty having a bowel movement;трудности с движением кишечника
pain in the arms or legs;боль в руках или ногах
dizziness;головокружение
fainting;обморок
fast, pounding, or irregular heartbeat or pulse;Быстро, стучание или нерегулярное сердцебиение или пульс
slow heartbeat;Медленное сердцебиение
black, tarry stools;Черный, табуретки
bleeding gums;кровоточащие десны
blood in the urine or stools;кровь в моче или табуретах
bloody vomit;кровавая рвота
pinpoint red spots on the skin;Определите красные пятна на коже
rash with flat lesions or small raised lesions on the skin;сыпь с плоскими поражениями или небольшими приподнятыми поражениями на коже
severe stomach pain;Сильная боль в животе
unusual bleeding or bruising;необычное кровотечение или синяки
chest pain or discomfort;боль в груди или дискомфорт
nausea;тошнота
shortness of breath;одышка
sweating;потоотделение
swelling of the feet and lower legs;Отек ног и нижних ног
troubled breathing;Беспокойное дыхание
unusual tiredness or weakness;необычная усталость или слабость
agitation or combativeness;возбуждение или боевая деятельность
anxiety;беспокойство
confusion;путаница
depression;депрессия
diarrhea;диарея
expressed fear of impending death;выразил страх перед надвигающейся смертью
hallucinations;галлюцинации
rash;сыпь
vomiting;рвота
blurred or loss of vision;размытый или потеря зрения
disturbed color perception;нарушенное восприятие цвета
double vision;двойное видение
halos around lights;Гало вокруг огней
headache;головная боль
lack of feeling or emotion;Отсутствие чувств или эмоций
loss of appetite;потеря аппетита
night blindness;ночная слепота
overbright appearance of lights;Внешний вид света
swelling of the breasts or breast soreness in both females and males;отек груди или болезненность груди как у женщин, так и у мужчин
tunnel vision;туннельное зрение
weakness;слабость
weight loss;потеря веса
dizziness;головокружение
headache;головная боль
increased heart rate;Увеличение частоты сердечных сокращений
numbness or tingling in the arms or legs;онемение или покалывание в руках или ногах
trouble thinking, speaking, or walking;Проблемы с мышлением, выступлением или ходьбой
weakness;слабость
chest pain;боль в груди
fast, irregular, pounding, or racing heartbeat or pulse;быстрое, нерегулярное, стучащее или гоночное сердцебиение или пульс
trouble breathing;Проблема дыхание
back, tarry stools;Назад, табуретки
bluish color;голубоватый цвет
blurred vision;размытое зрение
changes in skin color;Изменения в цвете кожи
chest discomfort or tightness;грудь дискомфорт или стеснение
chills;озноб
confusion;путаница
cough;кашель
difficulty swallowing;Сложность глотания
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
fever;высокая температура
hives, itching, skin rash;ульи, зуд, кожная сыпь
painful or difficult urination;болезненное или трудное мочеиспускание
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
sweating;потоотделение
swelling of the fingers, hands, feet, or lower legs;Отек пальцев, рук, ног или нижних ног
swollen glands;опухшие железы
unusual bleeding or bruising;необычное кровотечение или синяки
weight gain;увеличение веса
nausea;тошнота
bladder pain;боль мочевого пузыря
bloody or cloudy urine;кровавая или облачная моча
change in the color, amount, or odor of vaginal discharge;Изменение цвета, количества или запаха вагинального разряда
difficult, burning, or painful urination;Сложный, горящий или болезненное мочеиспускание
frequent urge to urinate;Частое желание мочиться
itching, stinging, or redness of the vaginal area;зуд, укол или покраснение влагалищной области
lower back or side pain;боль в пояснице или боковой боли
pain during sexual intercourse;боль во время полового акта
discharge with a strong odor from the penis;Выписать с сильным запахом от полового члена
increased volume of pale, dilute urine;Увеличение объема бледной, разбавленной мочи
redness, itching, swelling, or pain around the penis;покраснение, зуд, отек или боль вокруг пениса
waking to urinate at night;Пробуждение на мочеиспускании ночью
anxiety;беспокойство
blurred vision;размытое зрение
chills;озноб
cold sweats;Холодные поты
confusion;путаница
decreased urination;Снижение мочеиспускания
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
fast heartbeat;Быстрое сердцебиение
headache;головная боль
increased hunger;Увеличение голода
nausea;тошнота
nightmares;кошмары
rapid breathing;быстрое дыхание
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
dry mouth;сухой рот
fever;высокая температура
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
increased thirst;Увеличение жажды
itching, skin rash;Зуд, кожная сыпь
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или гениталии
loss of appetite;потеря аппетита
loss of consciousness;потеря сознания
pain, tenderness, redness, or swelling of the area between the anus and genitals;боль, нежность, покраснение или набухание области между анусом и гениталиями
redness of the skin;покраснение кожи
stomach pain;боль в животе
sunken eyes;Затонувшие глаза
trouble breathing;Проблема дыхание
unexplained weight loss;необъяснимая потеря веса
vomiting;рвота
weight gain;увеличение веса
wrinkled skin;морщинистая кожа
body aches or pain;боли в теле или боль
cough;кашель
loss of voice;потеря голоса
muscle pain or stiffness;мышечная боль или жесткость
runny or stuffy nose;жидкий или душный нос
sneezing;чихание
blurred vision;размытое зрение
confusion;путаница
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
chest pain;боль в груди
cough producing mucus;Кашель, производящий слизь
diarrhea;диарея
difficult or labored breathing;трудное или трудовое дыхание
fainting;обморок
fever or chills;лихорадка или озноб
nausea;тошнота
sneezing;чихание
sore throat;больное горло
tightness in the chest;плотность в груди
vomiting;рвота
dizziness;головокружение
lack or loss of strength;Недостаток или потеря силы
rash;сыпь
blurred or decreased vision;размытое или уменьшенное зрение
headache or browache;Головная боль или броваш
stinging, burning, redness, or other eye irritation;жених, сжигание, покраснение или другое раздражение глаз
watering of eyes;полив глаз
eye pain or ache;боль в глазах или боль
blurred or decreased vision;размытое или уменьшенное зрение
excess of cholesterol in the blood;избыток холестерина в крови
excess of triglycerides in the blood;избыток триглицеридов в крови
abdominal or stomach pain;боль в животе или животе
arm, back, or jaw pain;рука, спина или боль в челюсти
chest pain or discomfort;боль в груди или дискомфорт
chest tightness or heaviness;Групкость или тяжесть груди
confusion;путаница
difficulty with breathing;Сложность с дыханием
dizziness;головокружение
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
headache;головная боль
irregular heartbeat;аритмия
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
nausea;тошнота
nervousness;нервозность
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
pain or discomfort in the arms, jaw, back, or neck;боль или дискомфорт в руках, челюсти, спине или шеи
rash;сыпь
shortness of breath;одышка
sweating;потоотделение
vomiting;рвота
weakness or heaviness of the legs;Слабость или тяжесть ног
abnormal vaginal bleeding;Аномальное влагалищное кровотечение
breast pain;Боль в груди
chills;озноб
cloudy urine;облачная моча
cough;кашель
diarrhea;диарея
fever;высокая температура
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
joint pain;боль в суставах
loss of appetite;потеря аппетита
muscle aches and pains;мышечные боли
swelling of the breasts or breast soreness in both females and males;отек груди или болезненность груди как у женщин, так и у мужчин
unusual tiredness or weakness;необычная усталость или слабость
decreased interest in sexual intercourse;Снижение интереса к половым актерам
delayed or inability to have an orgasm;Задержка или неспособность иметь оргазм
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
not able to have an orgasm;Не в состоянии иметь оргазм
coma;кома
confusion;путаница
decreased urine output;Снижение выхода мочи
dizziness;головокружение
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
headache;головная боль
increased thirst;Увеличение жажды
muscle pain or cramps;мышечная боль или судороги
nausea or vomiting;тошнота или рвота
seizures;Припадки
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
bigger, dilated, or enlarged pupils (black part of the eye);Большие, расширенные или увеличенные зрачки (черная часть глаза)
black, tarry stools;Черный, табуретки
bloating;вздутие живота
blood in the urine;кровь в моче
bloody nose;кровавый нос
burning while urinating;горит во время мочеиспускания
changes in skin color;Изменения в цвете кожи
chest pain, discomfort, or tightness;Боль в груди, дискомфорт или стеснение
chills;озноб
constipation;запор
cough;кашель
dark-colored urine;темная моча
eye pain and blurred vision;Боль в глазах и размытое зрение
fainting;обморок
fever;высокая температура
heavier menstrual periods;более тяжелые менструальные периоды
hives, itching, skin rash;ульи, зуд, кожная сыпь
increased sensitivity of the eyes to light;повышенная чувствительность глаз к свету
indigestion;расстройство желудка
irregular or slow heart rate;нерегулярная или медленная частота сердечных сокращений
pain, redness, or swelling in the arm or leg;боль, покраснение или отек в руке или ноге
pain or discomfort in the arms, jaw, back or neck;боль или дискомфорт в руках, челюсти, спине или шеи
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
painful or difficult urination;болезненное или трудное мочеиспускание
palpitations;Благодаря
puffiness or swelling of the eyelids or around the eyes, face, lips;отечность или набухание век или вокруг глаз, лицо, губы
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
stomach pain, continuing;Боль в животе, продолжая
sweating;потоотделение
swelling of the breasts or unusual milk production;отек груди или необычное производство молока
swelling of the foot or leg;отек ноги или ноги
swollen or painful glands;опухшие или болезненные железы
unusual bleeding or bruising;необычное кровотечение или синяки
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
yellow eyes or skin;желтые глаза или кожа
diarrhea;диарея
dry mouth;сухой рот
heartburn;изжога
sleepiness or unusual drowsiness;сонливость или необычная сонливость
trouble sleeping;Проблемы со сном
bloated or full feeling;раздутый или полное чувство
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
decreased appetite;Снижение аппетита
excess air or gas in the stomach or bowels;Избыток воздуха или газа в желудке или кишечнике
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
increased sweating;Повышение потоотделения
joint pain;боль в суставах
muscle aches and pains;мышечные боли
pain in the neck or shoulders;боль в шее или плечах
pain or tenderness around the eyes and cheekbones;боль или нежность вокруг глаз и скул
passing gas;проходящий газ
runny nose;насморк
shivering;дрожь
sneezing;чихание
stuffy nose;заложенность носа
tooth problems;Зубные проблемы
unusual dreams;Необычные мечты
unusual drowsiness, dullness, tiredness, weakness or feeling of sluggishness;необычная сонливость, тупость, усталость, слабость или чувство вялости
yawning;зевать
decreased interest in sexual intercourse;Снижение интереса к половым актерам
delayed or inability to have an orgasm;Задержка или неспособность иметь оргазм
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
not able to have an orgasm;Не в состоянии иметь оргазм
blistering, peeling, loosening of the skin;волдырь, очистка, ослабление кожи
change in walking and balance;Изменение ходьбы и баланса
clumsiness or unsteadiness;неуклюжость или неустойчивость
decrease in smell;уменьшение запаха
hair loss or thinning of the hair;выпадение волос или истончение волос
increased sensitivity of skin to sunlight;Повышенная чувствительность кожи к солнечному свету
lack or loss of strength;Недостаток или потеря силы
loss of sense of smell;Потеря обоняния
red irritated eyes;красные раздраженные глаза
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
severe sunburn;Суровый солнечный ожог
bigger, dilated, or enlarged pupils (black part of the eye);Большие, расширенные или увеличенные зрачки (черная часть глаза)
black, tarry stools;Черный, табуретки
bloating;вздутие живота
blood in the urine;кровь в моче
bloody nose;кровавый нос
burning while urinating;горит во время мочеиспускания
changes in skin color;Изменения в цвете кожи
chest pain, discomfort, or tightness;Боль в груди, дискомфорт или стеснение
chills;озноб
constipation;запор
cough;кашель
dark-colored urine;темная моча
eye pain and blurred vision;Боль в глазах и размытое зрение
fainting;обморок
fever;высокая температура
heavier menstrual periods;более тяжелые менструальные периоды
hives, itching, skin rash;ульи, зуд, кожная сыпь
increased sensitivity of the eyes to light;повышенная чувствительность глаз к свету
indigestion;расстройство желудка
irregular or slow heart rate;нерегулярная или медленная частота сердечных сокращений
pain, redness, or swelling in the arm or leg;боль, покраснение или отек в руке или ноге
pain or discomfort in the arms, jaw, back or neck;боль или дискомфорт в руках, челюсти, спине или шеи
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
painful or difficult urination;болезненное или трудное мочеиспускание
palpitations;Благодаря
puffiness or swelling of the eyelids or around the eyes, face, lips;отечность или набухание век или вокруг глаз, лицо, губы
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
stomach pain, continuing;Боль в животе, продолжая
sweating;потоотделение
swelling of the breasts or unusual milk production;отек груди или необычное производство молока
swelling of the foot or leg;отек ноги или ноги
swollen or painful glands;опухшие или болезненные железы
unusual bleeding or bruising;необычное кровотечение или синяки
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
yellow eyes or skin;желтые глаза или кожа
coma;кома
confusion;путаница
decreased urine output;Снижение выхода мочи
dizziness;головокружение
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
headache;головная боль
increased thirst;Увеличение жажды
muscle pain or cramps;мышечная боль или судороги
nausea or vomiting;тошнота или рвота
seizures;Припадки
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
bloating or swelling of face, arms, hands, lower legs, or feet;вздутие живота или отек лица, рук, рук, нижних ног или ног
rapid weight gain;Быстрое увеличение веса
tingling of hands or feet;покалывание рук или ног
unusual weight gain or loss;необычный прирост веса или потеря
body aches or pain;боли в теле или боль
chills;озноб
cough;кашель
difficulty in breathing;трудность в дыхании
ear congestion;ушной застой
fever;высокая температура
headache;головная боль
loss of voice;потеря голоса
nasal congestion;носовые заторы
runny nose;насморк
sneezing;чихание
sore throat;больное горло
unusual tiredness or weakness;необычная усталость или слабость
blurred vision;размытое зрение
chest pain, tightness, or heaviness;боль в груди, стеснение или тяжесть
confusion;путаница
congestion;скопление
cough producing mucus;Кашель, производящий слизь
diarrhea;диарея
dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;головокружение, слабость или легкомысленность, когда внезапно вставать из положения лжи или сидения
fast, slow, or irregular heartbeat;быстрое, медленное или нерегулярное сердцебиение
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
hoarseness;охриплость
joint pain;боль в суставах
large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
loss of appetite;потеря аппетита
muscle aches and pains;мышечные боли
nausea;тошнота
pain or discomfort in arms, jaw, back, or neck;боль или дискомфорт в руках, челюсти, спине или шеи
pale skin;бледная кожа
shivering;дрожь
shortness of breath;одышка
sweating;потоотделение
swelling or puffiness of face;Отек или отечность лица
tender or swollen glands in neck;нежные или опухшие железы в шее
trouble in swallowing;Проблема при глотании
trouble sleeping;Проблемы со сном
troubled breathing with exertion;Беспокойное дыхание с усилием
unusual bleeding or bruising;необычное кровотечение или синяки
voice changes;голосовые изменения
wheezing;хрипил
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
constipation;запор
heartburn;изжога
indigestion;расстройство желудка
lack or loss of strength;Недостаток или потеря силы
skin rash;кожная сыпь
stomach discomfort, upset, or pain;дискомфорт в животе, расстройство или боль
bleeding gums;кровоточащие десны
irritation in mouth;раздражение во рту
redness and swelling of gums;покраснение и отек десен
bloated or full feeling;раздутый или полное чувство
bloody nose;кровавый нос
burning while urinating;горит во время мочеиспускания
decreased interest in sexual intercourse;Снижение интереса к половым актерам
difficult or painful urination;трудное или болезненное мочеиспускание
difficulty in moving;Сложность в движении
discouragement;уныние
disturbed color perception;нарушенное восприятие цвета
double vision;двойное видение
dry mouth;сухой рот
excess air or gas in stomach or intestines;Избыток воздуха или газа в желудке или кишечнике
feeling sad or empty;Чувствуя грусть или пусто
fear or nervousness;страх или нервозность
frequent strong or increased urge to urinate;частые сильные или повышенные побуждения к мочеиспусканию
halos around lights;Гало вокруг огней
hives or welts;ульи или сварки
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
increased need to urinate;Увеличение потребности в мочеиспускании
increased volume of pale or dilute urine;Увеличение объема бледной или разбавленной мочи
irritability;раздражительность
itching;зуд
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
loss of interest or pleasure;потеря интереса или удовольствия
muscle cramps or stiffness;мышечные спазмы или жесткость
night blindness;ночная слепота
overbright appearance of lights;Внешний вид света
pain or tenderness around eyes and cheekbones;боль или нежность вокруг глаз и скул
passing gas;проходящий газ
passing urine more often;прохождение мочи чаще
redness of skin;покраснение кожи
sleepiness or unusual drowsiness;сонливость или необычная сонливость
sleeplessness;бессонница
sores, welting, or blisters;язвы, смазывание или волдыри
swelling of the breasts or breast soreness in both females and males;отек груди или болезненность груди как у женщин, так и у мужчин
swollen joints;опухшие суставы
tiredness;усталость
trouble concentrating;Проблема концентрируется
tunnel vision;туннельное зрение
unable to sleep;Невозможно спать
blurred vision;размытое зрение
bone pain;боль в костях
confusion;путаница
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
feeling of warmth;чувство тепла
headache;головная боль
loss of appetite;потеря аппетита
nervousness;нервозность
pounding in the ears;стуча в уши
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
seizures;Припадки
slow or fast heartbeat;медленное или быстрое сердцебиение
sweating;потоотделение
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
chest discomfort or tightness;грудь дискомфорт или стеснение
chills;озноб
cough;кашель
difficult or labored breathing;трудное или трудовое дыхание
difficulty swallowing;Сложность глотания
fainting;обморок
fast, pounding, or irregular heartbeat or pulse;Быстро, стучание или нерегулярное сердцебиение или пульс
fever;высокая температура
hives, itching, skin rash;ульи, зуд, кожная сыпь
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
nausea;тошнота
change in taste;Изменение вкуса
discoloration at the injection site;обесцвечивание на месте инъекции
loss of taste;Потеря вкуса
vomiting;рвота
blurred vision;размытое зрение
bone pain;боль в костях
confusion;путаница
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
feeling of warmth;чувство тепла
headache;головная боль
loss of appetite;потеря аппетита
nervousness;нервозность
pounding in the ears;стуча в уши
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
seizures;Припадки
slow or fast heartbeat;медленное или быстрое сердцебиение
sweating;потоотделение
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
constipation;запор
diarrhea;диарея
pain or irritation at the injection site;боль или раздражение в месте инъекции
sneezing;чихание
stomach pain;боль в животе
back pain;боль в спине
difficulty with moving;Сложность с движением
muscle pain or stiffness;мышечная боль или жесткость
pain in the joints;боль в суставах
redness of the skin;покраснение кожи
chest discomfort or tightness;грудь дискомфорт или стеснение
chills;озноб
cough;кашель
difficult or labored breathing;трудное или трудовое дыхание
difficulty swallowing;Сложность глотания
fainting;обморок
fast, pounding, or irregular heartbeat or pulse;Быстро, стучание или нерегулярное сердцебиение или пульс
fever;высокая температура
hives, itching, skin rash;ульи, зуд, кожная сыпь
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
pale skin;бледная кожа
troubled breathing with exertion;Беспокойное дыхание с усилием
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
black, tarry stools;Черный, табуретки
